sign,stock,fire_date,score,corr_mode,q,r_k3,mfe_03,mae_03,baseline_r,cut_θ-1,cut_θ-2,cut_θ-3,policy_r_θ-1,policy_r_θ-2,policy_r_θ-3
div_gap,1332.T,2022-04-12,0.107761,mid,Q1,-0.019713,0.012545,-0.030466,-0.041219,1,0,0,-0.012545,-0.041219,-0.041219
rev_nlo,1332.T,2022-09-14,0.508581,high,Q3,-0.001832,0.001832,-0.010989,-0.063042,0,0,0,-0.063042,-0.063042,-0.063042
div_gap,1332.T,2023-06-21,0.167000,mid,Q2,-0.017672,-0.004942,-0.021417,0.083733,1,0,0,-0.014827,0.083733,0.083733
div_gap,1332.T,2023-08-07,0.421633,low,Q4,0.013249,0.025318,-0.012987,-0.078174,0,0,0,-0.078174,-0.078174,-0.078174
div_gap,1332.T,2023-08-10,0.279866,low,Q3,0.003636,0.025065,-0.025325,-0.077393,0,0,0,-0.077393,-0.077393,-0.077393
div_gap,1332.T,2023-09-27,0.234079,mid,Q3,-0.045313,0.004599,-0.047613,-0.057715,1,1,1,-0.052753,-0.052753,-0.052753
div_gap,1332.T,2023-12-08,0.277058,low,Q3,0.001019,0.045593,-0.010188,0.108518,0,0,0,0.108518,0.108518,0.108518
div_gap,1332.T,2023-12-21,0.275446,low,Q3,0.020381,0.022896,0.002514,0.131243,0,0,0,0.131243,0.131243,0.131243
rev_nlo,1332.T,2023-07-20,0.340286,low,Q1,-0.001192,0.014156,-0.005663,0.089693,0,0,0,0.089693,0.089693,0.089693
rev_nlo,1332.T,2023-10-12,0.493011,high,Q3,-0.027160,-0.009429,-0.037152,0.085873,1,1,0,-0.031804,-0.031804,0.085873
div_gap,1332.T,2024-04-19,0.304254,mid,Q4,-0.007548,0.022329,-0.009330,-0.121082,0,0,0,-0.121082,-0.121082,-0.121082
div_gap,1332.T,2024-06-17,0.157709,mid,Q2,-0.015304,-0.003855,-0.026519,0.011916,1,0,0,-0.004439,0.011916,0.011916
div_gap,1332.T,2024-07-18,0.343812,mid,Q4,-0.023117,0.005752,-0.024555,-0.074699,1,1,0,-0.033514,-0.033514,-0.074699
div_gap,1332.T,2024-08-26,0.095562,high,Q1,0.013577,0.032958,0.002409,-0.005402,0,0,0,-0.005402,-0.005402,-0.005402
div_gap,1332.T,2025-03-04,0.108100,high,Q1,0.011469,0.013878,-0.001491,0.006325,0,0,0,0.006325,0.006325,0.006325
